HolderAddress,Balance
0x42087c28f296d3b2Dab56E3F5d1ACA1388F2Be5B,3
0x78a840A7651866Ff6eaCA84ee9E5ca28856816D5,3
0x9906cd623dbee156d8dEeE923733277F0e0cE196,3
0x1f6d3712B6ee4D370aB472B1b7CE28adCfe48979,3
0x4695E9f31a9B932CDec4565C5A9d0596e0191AaD,3
0xf312aDAcFE33B4Acf833c26917f0301ab68728EB,3
0x495988EF5f95422B1Ff6E6C76158812da62A5e5B,3
0x88A6878aBBAA13AE9918BC0C2e7300d8cB3A6b58,3
0x579435914E1d9fC5eAC3Ab6C15Cf6Eb7CBc09669,2
0xE8782E32f1eEaFA94E90704ea6DccFFB8bCd5849,2
0xF94d160ae22a3D37a4fa9b33569F5c1e41BA1829,2
0xc348B5dD7c64a47EF461cD325611B7b8155D16BC,2
0x2332AA3fDb7fFa39a2ceF8A9aCa6988342B89781,2
0x872783Ab5f0ba9F97b5cAcfA115d9B852543B9ab,2
0x3a9E0Da873dbe52d7869e2fa76aeEd965ffc01DC,2
0x28f71B96E3fe92bBa03f7AbD01Aa587EBdBE1176,2
0xAbba833e2c9F66254Ad3632C08df78A629EdAB7e,2
0x22fFFc9983b4C14f405956a502136612D94CBE59,2
0xF95c27a51f2e340D52E8a3c428CD6e290F51CA00,2
0xDBDBc655BF297f103338D7C39436e2aE587c353B,2
0x6e4aeB2Af9CE3b67116d8B19E6f1CA6b318Fc629,2
0x571246cc386ad2193Ac840cF78Ec8F893d43231e,2
0xB695339b8f39102985AEcEAE4b7e0b381C20BB4e,2
0x504eD34Ef81cb0D3CAe0e326191454bBEfEca605,2
0x508172d285591fe723366bf03AD3611982949368,2
0x107713E171a9C875BFE79D0C60De09e950810F02,2
0xEae8F93CafB5A280Cc0060fB1733d6A28a81BC14,1
0x2C8927642c3C33568f94590974B1579e09414d8E,1
0x84a6a7c0674A3AA03e09c026600cb46181821f07,1
0x99bA7CA2B06E08348c61Bf1F93a73e2E6201e866,1
0x66b85978e50035586eA70A79790E9A4f8aa8Bd10,1
0x474017bFc7a692782C41Dd01Fe437823c3aA4a85,1
0xf4E6232d2f86Bd3399D956b3892d6B1893e1e06E,1
0xB776A168C04780f0663F78679fBdA0176A1Cc385,1
0xc4F6a96846fcC8E773158e34d166a40B3Bc19898,1
0x51269C05FFCEF90Eb64B9706317EBCbafbA79686,1
0x6f21dFa59C75Ce8e3B89A2D2062D76E8e603c116,1
0x5B6a25010A1740179eFd8756bBAbC8131D73a4Cb,1
0x457D68D805D3aD3C70E7b2fe762675792b60B2D4,1
0x5A2fCd7D1f602D380cF7b2988fBF79be3Aa83042,1
0x4030322659544000A59be8d74EF30F843e8c4E14,1
